Item#,Department,Event Part of the day,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23,hour 24,Total sales
11,Skirts,Afternoon,0.21,0.08,0.11,0.13,0.06,0,0.09,0,0.03,0.03,0.04,0.04,0.03,0.01,0.01,0.01,0.01,0,0.03,0.03,0.03,0,0,0,84
12,Polos&Tees,Morning,0.24,0.09,0.06,0.05,0.07,0.06,0.05,0.08,0.03,0.03,0.04,0.03,0,0.02,0.01,0.01,0,0.05,0,0,0,0.01,0.01,0,85
13,Polos&Tees,Morning,0.31,0.18,0.1,0.06,0.03,0.01,0.08,0.06,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0,0,0,0,0,0,0,0,87
14,Skirts,Afternoon,0.33,0.09,0,0.14,0.04,0.12,0,0.13,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0,0,0,0,0,0.01,0,80
15,Polos&Tees,Afternoon,0.28,0.19,0.02,0.15,0.02,0.04,0.09,0.07,0.05,0,0,0.02,0.02,0.02,0,0,0,0,0,0.01,0.01,0.01,0,0,67
16,Polos&Tees,Afternoon,0.4,0.15,0.1,0.05,0.12,0,0,0.01,0.03,0.03,0.01,0.01,0.02,0.01,0.03,0.01,0.01,0,0,0.01,0,0,0,0,225
17,Skirts,Afternoon,0.15,0.11,0.02,0.15,0.04,0.05,0.15,0.07,0,0.03,0,0.05,0.02,0,0,0,0,0,0,0,0,0.01,0,0,61
18,Polos&Tees,Afternoon,0.4,0.18,0.03,0.17,0.12,0,0.01,0.04,0.04,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,58
19,Skirts,Morning,0.17,0.13,0.09,0.07,0.06,0.05,0.04,0.04,0.04,0,0.05,0,0.03,0,0.01,0.01,0,0,0,0,0,0,0,0.02,97
20,Skirts,Afternoon,0.3,0.14,0.09,0.06,0.06,0.04,0.03,0.02,0.03,0.03,0,0.04,0.03,0,0.01,0.01,0,0,0,0,0.01,0,0,0,104
21,Polos&Tees,Morning,0.31,0.12,0.06,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.01,0.01,0,0,0,0.01,0.01,0.01,0,0,57
22,Polos&Tees,Morning,0.26,0.14,0.08,0.06,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0,0.03,0.02,0.01,0.01,0,0,0,0.01,0.01,0.01,0,0,57
23,Skirts,Morning,0.3,0.14,0.08,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.02,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0,0,124
24,Polos&Tees,Afternoon,0.27,0.15,0.09,0.07,0.04,0.04,0.05,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0,0.01,0.02,0.02,0.02,0.03,0.04,0.02,0,0.01,67
25,Skirts,Morning,0.32,0.14,0.09,0.07,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0,0.02,0.01,0.01,0.01,0,0,0,0,0,0,0.02,55
26,Polos&Tees,Morning,0.23,0.14,0.09,0.07,0.07,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0,0,0,0.01,0.02,0.02,0,51
27,Polos&Tees,Morning,0.27,0.22,0.02,0.02,0.08,0.03,0.04,0.05,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,56
28,Skirts,Morning,0.38,0.12,0.08,0.01,0.08,0,0.11,0,0.02,0.03,0.04,0.01,0.01,0.02,0.01,0.01,0,0,0.06,0,0,0.01,0,0,69
29,Skirts,Morning,0.28,0.11,0.14,0.07,0.03,0,0.08,0,0.03,0.07,0.04,0.02,0.04,0.03,0.01,0.01,0.01,0,0.01,0,0.01,0.01,0,0,78
30,Polos&Tees,Afternoon,0.15,0.15,0.08,0.05,0.13,0.03,0.07,0.07,0.04,0.02,0.04,0.05,0.04,0.04,0.01,0.01,0,0,0,0,0.01,0.01,0,0,57
31,Polos&Tees,Morning,0.28,0.15,0.06,0.12,0.08,0.05,0.01,0.02,0.03,0,0.03,0,0.01,0.01,0.01,0.01,0,0,0,0,0.01,0.01,0,0,276
32,Skirts,Morning,0.18,0.18,0.02,0.03,0,0.04,0.05,0.01,0.01,0.05,0.01,0.04,0.03,0,0.01,0.03,0.01,0.04,0.04,0.02,0.05,0.03,0,0.01,66
33,Skirts,Afternoon,0.12,0.08,0.06,0.05,0.08,0.03,0.01,0,0.02,0.06,0.05,0.01,0.04,0.02,0.01,0.01,0,0,0,0,0.01,0.01,0.03,0,54
34,Skirts,Morning,0.29,0.04,0.13,0.09,0,0.06,0,0.06,0.04,0.05,0.05,0.04,0.03,0.02,0.01,0.01,0,0,0,0.01,0.05,0.02,0,0,67
35,Skirts,Afternoon,0.11,0.1,0,0.13,0.06,0.07,0.03,0.09,0.03,0.03,0.04,0.04,0.03,0,0,0,0,0,0,0,0,0.01,0,0,74
36,Polos&Tees,Morning,0.26,0.2,0.05,0.04,0,0.09,0.07,0.1,0.05,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0,0,0,0.02,0,0,0,83
37,Polos&Tees,Morning,0.22,0.14,0,0.16,0.02,0.06,0,0.23,0.04,0,0.06,0.03,0.03,0,0.01,0,0,0,0,0,0,0,0,0,70
38,Polos&Tees,Afternoon,0.2,0.12,0.08,0.08,0.06,0.04,0.04,0.03,0.03,0.07,0.05,0.04,0.04,0,0.01,0.01,0,0,0,0,0.01,0,0.02,0.02,67
39,Skirts,Afternoon,0.29,0.13,0.08,0.07,0.06,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.02,0.01,0.01,0,0,0,0,0.01,0.01,0.01,0.02,88
40,Polos&Tees,Afternoon,0.29,0.12,0.07,0.06,0.06,0.04,0.04,0.03,0.03,0.03,0,0.04,0.03,0.02,0.02,0.01,0.01,0,0,0.01,0.01,0,0.02,0.02,104
41,Polos&Tees,Morning,0.3,0.14,0.08,0.07,0.05,0.05,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0.01,0,0,71
42,Polos&Tees,Morning,0.28,0.13,0.08,0.07,0.06,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.01,0.01,0,0,0,0,0.01,0.01,0,0,53
43,Polos&Tees,Afternoon,0.31,0.14,0.08,0.06,0.06,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0,0,0,0,0.01,0,0,0,104
44,Polos&Tees,Morning,0.14,0.1,0.08,0.05,0.03,0.05,0.06,0.1,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.04,0.04,0.02,0.05,0.03,0.03,0,60
45,Polos&Tees,Afternoon,0.24,0.13,0.09,0.07,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0,0,0,0,0.01,0.01,0,0,80
46,Polos&Tees,Morning,0.26,0.22,0.08,0.08,0.09,0,0.04,0,0.06,0.03,0.03,0,0.01,0,0.03,0,0.05,0,0.01,0,0,0,0,0,57
47,Skirts,Morning,0.29,0.16,0.08,0.01,0.06,0.07,0.03,0.03,0.06,0.01,0.04,0.02,0,0,0.02,0,0,0.03,0.02,0.02,0.04,0.01,0,0,64
48,Polos&Tees,Morning,0.28,0.18,0.12,0,0.05,0.05,0,0.08,0,0,0.05,0.07,0,0,0,0,0.04,0,0,0,0,0,0.02,0,164
49,Polos&Tees,Morning,0.33,0.22,0.05,0.03,0.08,0.01,0.05,0,0,0,0,0,0,0,0,0.04,0.01,0.02,0,0,0,0,0,0.05,75
50,Polos&Tees,Morning,0.31,0.15,0.05,0.03,0.13,0.09,0.03,0.03,0,0,0,0,0,0.01,0.02,0.09,0,0.02,0.01,0,0,0,0,0,57
51,Polos&Tees,Morning,0.35,0.11,0,0.17,0,0.02,0,0.12,0,0,0,0,0,0,0.03,0.02,0.03,0,0,0.08,0,0.05,0,0,78
52,Polos&Tees,Afternoon,0.38,0.15,0.13,0.05,0,0.05,0.09,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,66
53,Skirts,Morning,0.43,0.11,0.1,0.01,0.11,0.1,0.02,0.01,0.02,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,104
54,Polos&Tees,Afternoon,0.17,0.17,0.12,0.03,0.02,0,0.07,0.06,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.02,0,0,0.01,0.01,0.02,0,0,0,127
55,Polos&Tees,Morning,0.17,0.15,0.05,0.14,0.1,0.01,0.07,0.08,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0,0,0,0,0,0,0,79
56,Skirts,Afternoon,0.12,0.12,0.12,0.07,0.03,0.02,0.05,0,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0,0,0,0,0,0,0,149
57,Polos&Tees,Afternoon,0.14,0.18,0.15,0.07,0,0,0.15,0.09,0.03,0.03,0.06,0.01,0.04,0.02,0,0,0,0,0,0,0.01,0.01,0,0,76
58,Polos&Tees,Afternoon,0.14,0.13,0.07,0.06,0.11,0.1,0.08,0,0,0.08,0,0,0.05,0.07,0,0,0,0,0,0.01,0,0,0,0,269
59,Polos&Tees,Morning,0.3,0.16,0.06,0.1,0.05,0.02,0.02,0.02,0.02,0.03,0.04,0.01,0.01,0.02,0,0,0,0,0,0,0,0.02,0,0.02,61
60,Polos&Tees,Morning,0.26,0.12,0.07,0.04,0.04,0.04,0.03,0.04,0.03,0,0.04,0.02,0.04,0.03,0.01,0,0,0,0,0,0,0.01,0.01,0.02,67
61,Polos&Tees,Morning,0.22,0.11,0,0.08,0,0.05,0,0.05,0,0.02,0.04,0,0.04,0,0.02,0.01,0,0,0,0,0,0,0,0,171
62,Polos&Tees,Morning,0.34,0.09,0.13,0.03,0.06,0.03,0.01,0.05,0.03,0.06,0.03,0.03,0.01,0.01,0.01,0,0.01,0,0,0,0,0,0,0,153
63,Polos&Tees,Afternoon,0.32,0.17,0.11,0.08,0.05,0.03,0.03,0.02,0.01,0.05,0.01,0.04,0.03,0,0,0.01,0.01,0,0,0,0,0,0,0,55
64,Polos&Tees,Afternoon,0.21,0.14,0.06,0.09,0.04,0.1,0.02,0.03,0.02,0.03,0.02,0.01,0,0.02,0,0,0.02,0,0,0,0,0,0,0.03,57
65,Skirts,Afternoon,0.52,0.16,0,0.11,0.06,0,0,0.03,0.07,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
66,Polos&Tees,Morning,0.38,0.15,0.11,0.05,0.06,0.04,0.02,0,0.04,0.09,0,0,0.03,0,0,0,0,0.03,0,0,0,0,0,0,73
67,Polos&Tees,Afternoon,0.21,0.08,0.11,0.13,0.06,0,0.09,0,0.03,0.03,0.04,0.04,0.03,0.01,0.01,0.01,0.01,0,0.03,0.03,0.03,0,0,0,68
68,Skirts,Morning,0.24,0.09,0.06,0.05,0.07,0.06,0.05,0.08,0.03,0.03,0.04,0.03,0,0.02,0.01,0.01,0,0.05,0,0,0,0.01,0.01,0,69
69,Skirts,Afternoon,0.31,0.18,0.1,0.06,0.03,0.01,0.08,0.06,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0,0,0,0,0,0,0,0,80
70,Polos&Tees,Morning,0.33,0.09,0,0.14,0.04,0.12,0,0.13,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0,0,0,0,0,0.01,0,149
71,Polos&Tees,Morning,0.28,0.19,0.02,0.15,0.02,0.04,0.09,0.07,0.05,0,0,0.02,0.02,0.02,0,0,0,0,0,0.01,0.01,0.01,0,0,71
72,Polos&Tees,Morning,0.4,0.15,0.1,0.05,0.12,0,0,0.01,0.03,0.03,0.01,0.01,0.02,0.01,0.03,0.01,0.01,0,0,0.01,0,0,0,0,57
73,Skirts,Morning,0.15,0.11,0.02,0.15,0.04,0.05,0.15,0.07,0,0.03,0,0.05,0.02,0,0,0,0,0,0,0,0,0.01,0,0,102
74,Skirts,Morning,0.4,0.18,0.03,0.17,0.12,0,0.01,0.04,0.04,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,89
75,Skirts,Afternoon,0.17,0.13,0.09,0.07,0.06,0.05,0.04,0.04,0.04,0,0.05,0,0.03,0,0.01,0.01,0,0,0,0,0,0,0,0.02,149
76,Skirts,Afternoon,0.3,0.14,0.09,0.06,0.06,0.04,0.03,0.02,0.03,0.03,0,0.04,0.03,0,0.01,0.01,0,0,0,0,0.01,0,0,0,94
77,Polos&Tees,Morning,0.31,0.12,0.06,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.01,0.01,0,0,0,0.01,0.01,0.01,0,0,73
78,Skirts,Morning,0.26,0.14,0.08,0.06,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0,0.03,0.02,0.01,0.01,0,0,0,0.01,0.01,0.01,0,0,57
79,Polos&Tees,Morning,0.3,0.14,0.08,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.02,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0,0,94
80,Skirts,Afternoon,0.27,0.15,0.09,0.07,0.04,0.04,0.05,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0,0.01,0.02,0.02,0.02,0.03,0.04,0.02,0,0.01,76
81,Skirts,Morning,0.32,0.14,0.09,0.07,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0,0.02,0.01,0.01,0.01,0,0,0,0,0,0,0.02,62
82,Polos&Tees,Morning,0.23,0.14,0.09,0.07,0.07,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0,0,0,0.01,0.02,0.02,0,74
83,Polos&Tees,Morning,0.27,0.22,0.02,0.02,0.08,0.03,0.04,0.05,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,72
84,Polos&Tees,Morning,0.38,0.12,0.08,0.01,0.08,0,0.11,0,0.02,0.03,0.04,0.01,0.01,0.02,0.01,0.01,0,0,0.06,0,0,0.01,0,0,86
85,Skirts,Afternoon,0.28,0.11,0.14,0.07,0.03,0,0.08,0,0.03,0.07,0.04,0.02,0.04,0.03,0.01,0.01,0.01,0,0.01,0,0.01,0.01,0,0,141
86,Skirts,Morning,0.15,0.15,0.08,0.05,0.13,0.03,0.07,0.07,0.04,0.02,0.04,0.05,0.04,0.04,0.01,0.01,0,0,0,0,0.01,0.01,0,0,68
87,Skirts,Morning,0.28,0.15,0.06,0.12,0.08,0.05,0.01,0.02,0.03,0,0.03,0,0.01,0.01,0.01,0.01,0,0,0,0,0.01,0.01,0,0,125
88,Polos&Tees,Morning,0.18,0.18,0.02,0.03,0,0.04,0.05,0.01,0.01,0.05,0.01,0.04,0.03,0,0.01,0.03,0.01,0.04,0.04,0.02,0.05,0.03,0,0.01,130
89,Skirts,Morning,0.12,0.08,0.06,0.05,0.08,0.03,0.01,0,0.02,0.06,0.05,0.01,0.04,0.02,0.01,0.01,0,0,0,0,0.01,0.01,0.03,0,53
90,Skirts,Morning,0.29,0.04,0.13,0.09,0,0.06,0,0.06,0.04,0.05,0.05,0.04,0.03,0.02,0.01,0.01,0,0,0,0.01,0.05,0.02,0,0,57
91,Skirts,Morning,0.11,0.1,0,0.13,0.06,0.07,0.03,0.09,0.03,0.03,0.04,0.04,0.03,0,0,0,0,0,0,0,0,0.01,0,0,217
92,Polos&Tees,Morning,0.26,0.2,0.05,0.04,0,0.09,0.07,0.1,0.05,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0,0,0,0.02,0,0,0,89
93,Polos&Tees,Afternoon,0.22,0.14,0,0.16,0.02,0.06,0,0.23,0.04,0,0.06,0.03,0.03,0,0.01,0,0,0,0,0,0,0,0,0,55
94,Polos&Tees,Morning,0.2,0.12,0.08,0.08,0.06,0.04,0.04,0.03,0.03,0.07,0.05,0.04,0.04,0,0.01,0.01,0,0,0,0,0.01,0,0.02,0.02,90
95,Polos&Tees,Morning,0.29,0.13,0.08,0.07,0.06,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.02,0.01,0.01,0,0,0,0,0.01,0.01,0.01,0.02,57
96,Polos&Tees,Afternoon,0.29,0.12,0.07,0.06,0.06,0.04,0.04,0.03,0.03,0.03,0,0.04,0.03,0.02,0.02,0.01,0.01,0,0,0.01,0.01,0,0.02,0.02,52
97,Skirts,Morning,0.3,0.14,0.08,0.07,0.05,0.05,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0.01,0,0,95
98,Polos&Tees,Morning,0.28,0.13,0.08,0.07,0.06,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.01,0.01,0,0,0,0,0.01,0.01,0,0,73
99,Polos&Tees,Morning,0.31,0.14,0.08,0.06,0.06,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0,0,0,0,0.01,0,0,0,62
100,Skirts,Afternoon,0.14,0.1,0.08,0.05,0.03,0.05,0.06,0.1,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.04,0.04,0.02,0.05,0.03,0.03,0,161
101,Polos&Tees,Morning,0.24,0.13,0.09,0.07,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0,0,0,0,0.01,0.01,0,0,110
102,Polos&Tees,Morning,0.26,0.22,0.08,0.08,0.09,0,0.04,0,0.06,0.03,0.03,0,0.01,0,0.03,0,0.05,0,0.01,0,0,0,0,0,72
103,Polos&Tees,Afternoon,0.29,0.16,0.08,0.01,0.06,0.07,0.03,0.03,0.06,0.01,0.04,0.02,0,0,0.02,0,0,0.03,0.02,0.02,0.04,0.01,0,0,76
104,Polos&Tees,Afternoon,0.28,0.18,0.12,0,0.05,0.05,0,0.08,0,0,0.05,0.07,0,0,0,0,0.04,0,0,0,0,0,0.02,0,58
105,Polos&Tees,Morning,0.33,0.22,0.05,0.03,0.08,0.01,0.05,0,0,0,0,0,0,0,0,0.04,0.01,0.02,0,0,0,0,0,0.05,82
106,Polos&Tees,Afternoon,0.31,0.15,0.05,0.03,0.13,0.09,0.03,0.03,0,0,0,0,0,0.01,0.02,0.09,0,0.02,0.01,0,0,0,0,0,82
107,Polos&Tees,Morning,0.35,0.11,0,0.17,0,0.02,0,0.12,0,0,0,0,0,0,0.03,0.02,0.03,0,0,0.08,0,0.05,0,0,66
108,Skirts,Afternoon,0.38,0.15,0.13,0.05,0,0.05,0.09,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,79
109,Polos&Tees,Morning,0.43,0.11,0.1,0.01,0.11,0.1,0.02,0.01,0.02,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,72
110,Polos&Tees,Morning,0.17,0.17,0.12,0.03,0.02,0,0.07,0.06,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.02,0,0,0.01,0.01,0.02,0,0,0,57
111,Polos&Tees,Morning,0.17,0.15,0.05,0.14,0.1,0.01,0.07,0.08,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0,0,0,0,0,0,0,103
112,Polos&Tees,Morning,0.12,0.12,0.12,0.07,0.03,0.02,0.05,0,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0,0,0,0,0,0,0,169
113,Skirts,Morning,0.14,0.18,0.15,0.07,0,0,0.15,0.09,0.03,0.03,0.06,0.01,0.04,0.02,0,0,0,0,0,0,0.01,0.01,0,0,108
114,Skirts,Morning,0.14,0.13,0.07,0.06,0.11,0.1,0.08,0,0,0.08,0,0,0.05,0.07,0,0,0,0,0,0.01,0,0,0,0,109
115,Polos&Tees,Morning,0.3,0.16,0.06,0.1,0.05,0.02,0.02,0.02,0.02,0.03,0.04,0.01,0.01,0.02,0,0,0,0,0,0,0,0.02,0,0.02,61
116,Skirts,Morning,0.26,0.12,0.07,0.04,0.04,0.04,0.03,0.04,0.03,0,0.04,0.02,0.04,0.03,0.01,0,0,0,0,0,0,0.01,0.01,0.02,106
117,Skirts,Morning,0.22,0.11,0,0.08,0,0.05,0,0.05,0,0.02,0.04,0,0.04,0,0.02,0.01,0,0,0,0,0,0,0,0,82
118,Skirts,Afternoon,0.34,0.09,0.13,0.03,0.06,0.03,0.01,0.05,0.03,0.06,0.03,0.03,0.01,0.01,0.01,0,0.01,0,0,0,0,0,0,0,79
119,Skirts,Morning,0.32,0.17,0.11,0.08,0.05,0.03,0.03,0.02,0.01,0.05,0.01,0.04,0.03,0,0,0.01,0.01,0,0,0,0,0,0,0,82
120,Skirts,Afternoon,0.21,0.14,0.06,0.09,0.04,0.1,0.02,0.03,0.02,0.03,0.02,0.01,0,0.02,0,0,0.02,0,0,0,0,0,0,0.03,279
121,Polos&Tees,Afternoon,0.52,0.16,0,0.11,0.06,0,0,0.03,0.07,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
122,Skirts,Morning,0.38,0.15,0.11,0.05,0.06,0.04,0.02,0,0.04,0.09,0,0,0.03,0,0,0,0,0.03,0,0,0,0,0,0,105
123,Polos&Tees,Afternoon,0.21,0.08,0.11,0.13,0.06,0,0.09,0,0.03,0.03,0.04,0.04,0.03,0.01,0.01,0.01,0.01,0,0.03,0.03,0.03,0,0,0,86
124,Polos&Tees,Morning,0.24,0.09,0.06,0.05,0.07,0.06,0.05,0.08,0.03,0.03,0.04,0.03,0,0.02,0.01,0.01,0,0.05,0,0,0,0.01,0.01,0,121
125,Polos&Tees,Afternoon,0.31,0.18,0.1,0.06,0.03,0.01,0.08,0.06,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0,0,0,0,0,0,0,0,82
126,Skirts,Afternoon,0.33,0.09,0,0.14,0.04,0.12,0,0.13,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0,0,0,0,0,0.01,0,71
127,Polos&Tees,Afternoon,0.28,0.19,0.02,0.15,0.02,0.04,0.09,0.07,0.05,0,0,0.02,0.02,0.02,0,0,0,0,0,0.01,0.01,0.01,0,0,78
128,Polos&Tees,Afternoon,0.4,0.15,0.1,0.05,0.12,0,0,0.01,0.03,0.03,0.01,0.01,0.02,0.01,0.03,0.01,0.01,0,0,0.01,0,0,0,0,135
129,Polos&Tees,Morning,0.15,0.11,0.02,0.15,0.04,0.05,0.15,0.07,0,0.03,0,0.05,0.02,0,0,0,0,0,0,0,0,0.01,0,0,218
130,Skirts,Afternoon,0.4,0.18,0.03,0.17,0.12,0,0.01,0.04,0.04,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,73
131,Skirts,Morning,0.17,0.13,0.09,0.07,0.06,0.05,0.04,0.04,0.04,0,0.05,0,0.03,0,0.01,0.01,0,0,0,0,0,0,0,0.02,208
132,Skirts,Afternoon,0.3,0.14,0.09,0.06,0.06,0.04,0.03,0.02,0.03,0.03,0,0.04,0.03,0,0.01,0.01,0,0,0,0,0.01,0,0,0,149
133,Polos&Tees,Afternoon,0.31,0.12,0.06,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.01,0.01,0,0,0,0.01,0.01,0.01,0,0,97
134,Skirts,Afternoon,0.26,0.14,0.08,0.06,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0,0.03,0.02,0.01,0.01,0,0,0,0.01,0.01,0.01,0,0,63
135,Skirts,Afternoon,0.3,0.14,0.08,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.02,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0,0,84
136,Polos&Tees,Afternoon,0.27,0.15,0.09,0.07,0.04,0.04,0.05,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0,0.01,0.02,0.02,0.02,0.03,0.04,0.02,0,0.01,52
137,Polos&Tees,Afternoon,0.32,0.14,0.09,0.07,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0,0.02,0.01,0.01,0.01,0,0,0,0,0,0,0.02,57
138,Polos&Tees,Morning,0.23,0.14,0.09,0.07,0.07,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0,0,0,0.01,0.02,0.02,0,73
139,Polos&Tees,Afternoon,0.27,0.22,0.02,0.02,0.08,0.03,0.04,0.05,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,75
140,Polos&Tees,Afternoon,0.38,0.12,0.08,0.01,0.08,0,0.11,0,0.02,0.03,0.04,0.01,0.01,0.02,0.01,0.01,0,0,0.06,0,0,0.01,0,0,62
141,Polos&Tees,Morning,0.28,0.11,0.14,0.07,0.03,0,0.08,0,0.03,0.07,0.04,0.02,0.04,0.03,0.01,0.01,0.01,0,0.01,0,0.01,0.01,0,0,61
142,Polos&Tees,Morning,0.15,0.15,0.08,0.05,0.13,0.03,0.07,0.07,0.04,0.02,0.04,0.05,0.04,0.04,0.01,0.01,0,0,0,0,0.01,0.01,0,0,110
143,Polos&Tees,Afternoon,0.28,0.15,0.06,0.12,0.08,0.05,0.01,0.02,0.03,0,0.03,0,0.01,0.01,0.01,0.01,0,0,0,0,0.01,0.01,0,0,59
144,Polos&Tees,Afternoon,0.18,0.18,0.02,0.03,0,0.04,0.05,0.01,0.01,0.05,0.01,0.04,0.03,0,0.01,0.03,0.01,0.04,0.04,0.02,0.05,0.03,0,0.01,121
